term,term_normalized,is_multi_word,subjects,grade_bands,standard_ref,awl_match,is_latin_derived,is_greek_derived,etymology_evidence,is_bridge_priority,transliteration_difficulty,frequency,pos
aggression,aggression,False,social-studies,9-12,,False,True,False,L-suffix:sion,True,high,1,NOUN
isolationism,isolationism,False,social-studies,9-12,,False,False,True,G-prefix:iso|G-suffix:ism,True,high,1,NOUN
interventionist,interventionist,False,social-studies,9-12,,False,True,True,L-prefix:inter|G-suffix:ist,True,high,1,ADJ
mobilization,mobilization,False,social-studies,9-12,,False,True,False,L-suffix:tion,True,high,1,NOUN
mistreatment,mistreatment,False,social-studies,9-12,,False,True,False,L-suffix:ment,True,high,1,NOUN
unfair,unfair,False,social-studies,9-12,,False,True,False,L-prefix:un,True,medium,1,ADJ
socialist,socialist,False,social-studies,9-12,,False,False,True,G-suffix:ist,True,high,1,PROPN
republics,republics,False,social-studies,9-12,,False,True,False,L-prefix:re,True,high,1,PROPN
confrontation,confrontation,False,social-studies,9-12,,False,True,False,L-prefix:con|L-suffix:tion,True,high,1,NOUN
upheaval,upheaval,False,social-studies,9-12,,False,True,False,L-suffix:al,True,high,1,NOUN
communism,communism,False,social-studies,9-12,,False,True,True,L-prefix:com|G-suffix:ism,True,high,1,NOUN
mccarthyism,mccarthyism,False,social-studies,9-12,,False,False,True,G-suffix:ism,True,high,1,PROPN
transformations,transformations,False,social-studies,9-12,,False,True,False,L-prefix:trans,True,high,1,PROPN
suburban,suburban,False,social-studies,9-12,,False,True,False,L-prefix:sub,True,high,1,ADJ
mercantilism,mercantilism,False,social-studies,9-12,,False,False,True,G-suffix:ism,True,high,1,NOUN
exploitation,exploitation,False,social-studies,9-12,,False,True,False,L-prefix:ex|L-suffix:tion,True,high,1,NOUN
imperial,imperial,False,social-studies,9-12,,False,True,False,L-prefix:im|L-suffix:ial,True,high,1,ADJ
celebration,celebration,False,social-studies,K-2,,False,True,False,L-suffix:tion,True,high,1,NOUN
allegiance,allegiance,False,social-studies,K-2,,False,True,False,L-suffix:ance,True,high,1,PROPN
anthem,anthem,False,social-studies,K-2,,False,False,True,G-prefix:an+the,True,medium,1,PROPN
datum,datum,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,2249,NOUN
system,system,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,1610,NOUN
force,force,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,1128,NOUN
scientific,scientific,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,1026,ADJ
| science |,| science |,True,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,1002,NP
engineering,engineering,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,933,PROPN
earth,earth,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,829,NOUN
variety,variety,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,755,NOUN
motion,motion,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,717,NOUN
mathematics,mathematics,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,653,PROPN
care,care,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,641,NOUN
language,language,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,617,PROPN
value,value,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,615,NOUN
event,event,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,586,NOUN
meaning,meaning,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,583,NOUN
cell,cell,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,581,NOUN
field,field,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,551,NOUN
pattern,pattern,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,L.6.2,False,False,False,,False,low,548,NOUN
thinking,thinking,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,532,NOUN
plant,plant,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,517,NOUN
algebra,algebra,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,510,PROPN
rock,rock,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,431,NOUN
rate,rate,False,ela|math|science,3-5|6-8|9-12|K-2,RF.4.4,False,False,False,,False,low,429,NOUN
matter,matter,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,404,NOUN
study,study,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,402,NOUN
soil,soil,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,396,NOUN
analysis,analysis,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,390,NOUN
air,air,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,386,NOUN
tool,tool,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,381,NOUN
term,term,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,376,NOUN
apple,apple,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,376,NOUN
law,law,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,374,NOUN
public,public,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.3.2,False,False,False,,False,low,361,ADJ
light,light,False,ela|math|science,3-5|6-8|9-12|K-2,SL.4.1,False,False,False,,False,low,354,NOUN
english,english,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,352,PROPN
city,city,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,339,PROPN
modeling,modeling,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,332,NOUN
thought,thought,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,330,NOUN
plan,plan,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,318,NOUN
springboard,springboard,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,318,NOUN
shape,shape,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,313,NOUN
sun,sun,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,313,PROPN
speed,speed,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.6,False,False,False,,False,low,301,NOUN
purpose,purpose,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,6.EE.6,False,False,False,,False,low,284,PROPN
length,length,False,math|science,3-5|6-8|9-12|K-2,4.NF.6,False,False,False,,False,low,282,NOUN
blood,blood,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,271,NOUN
