term,term_normalized,is_multi_word,subjects,grade_bands,standard_ref,awl_match,is_latin_derived,is_greek_derived,etymology_evidence,is_bridge_priority,transliteration_difficulty,frequency,pos
science,science,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ence,True,medium,6772,PROPN
concept,concept,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con,True,medium,2703,NOUN
energy,energy,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,2000,NOUN
science concept,science concept,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con,True,high,1856,NP
design,design,False,ela|math|science,3-5|6-8|9-12|K-2,RI.4.3,True,True,False,L-prefix:de|L-root:sign,True,medium,1690,PROPN
object,object,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.6,False,True,False,L-prefix:ob|L-root:ject,True,medium,1682,NOUN
process,process,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:pro,True,medium,1375,NOUN
mathematical,mathematical,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,high,1342,PROPN
solution,solution,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.5,False,True,False,L-suffix:tion,True,high,1316,NOUN
function,function,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:tion,True,high,1280,NOUN
problem,problem,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.5,False,True,False,L-prefix:pro,True,medium,1253,NOUN
contents,contents,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:con,True,high,1064,PROPN
property,property,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pro|L-root:oper,True,high,1047,NOUN
text,text,False,ela|math,3-5|6-8|9-12|K-2,,True,False,False,,True,low,955,PROPN
interpreting,interpreting,False,ela|math|science,3-5|6-8|9-12|K-2,F.1,True,True,False,L-prefix:inter,True,high,922,NOUN
relationship,relationship,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:re,True,high,918,NOUN
technological,technological,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,L-suffix:al|G-root:techn,True,high,904,ADJ
nature,nature,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ure,True,medium,874,NOUN
real,real,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.MD.1,False,False,False,,True,low,849,ADJ
accurate,accurate,False,ela|math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,842,ADJ
structure,structure,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:ure|L-root:struct,True,high,837,PROPN
specific,specific,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-root:spec,True,high,828,ADJ
graph,graph,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.7,False,False,True,G-root:graph,True,medium,809,NOUN
activity,activity,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ity|L-root:vit,True,high,805,NOUN
experience,experience,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,F.3,False,True,False,L-prefix:ex|L-suffix:ence,True,high,776,NOUN
research,research,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,True,L-prefix:re|G-root:arch,True,high,772,NOUN
science knowledge interpreting,science knowledge interpreting,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:inter,True,high,768,NP
reasoning,reasoning,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.2.7,False,True,False,L-prefix:re,True,high,761,NOUN
current,current,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,MD.4,False,True,False,L-suffix:ent,True,medium,761,ADJ
appropriate,appropriate,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,742,ADJ
evidence,evidence,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ence|L-root:vid,True,high,739,NOUN
area,area,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,729,NOUN
equation,equation,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion,True,high,725,NOUN
aspect,aspect,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.5.6,True,True,False,L-root:spec,True,medium,716,NOUN
course,course,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:co,True,medium,711,NOUN
probability,probability,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pro|L-suffix:ity,True,high,686,NOUN
investigation,investigation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:tion,True,high,676,NOUN
cognitive,cognitive,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:co|L-suffix:ive,True,high,676,PROPN
material,material,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ial|L-root:mater,True,high,630,NOUN
human,human,False,math|science|social-studies,3-5|6-8|9-12|K-2,G.1,False,False,False,,True,low,629,ADJ
computer,computer,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.NS.3,False,True,False,L-prefix:com,True,high,628,NOUN
possible,possible,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ible,True,high,625,ADJ
important,important,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:im|L-suffix:ant|L-root:port,True,high,617,ADJ
effect,effect,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,5.NF.6,False,False,False,,True,low,614,NOUN
task,task,False,ela|math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,low,603,PROPN
measurement,measurement,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ment,True,high,585,NOUN
variable,variable,False,ela|math|science,3-5|6-8|9-12|K-2,L.6.1,False,True,False,L-suffix:able,True,high,540,NOUN
method,method,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,525,NOUN
instruction,instruction,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:tion|L-root:struct,True,high,524,NOUN
local,local,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,medium,512,PROPN
education,education,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion|L-root:duc,True,high,511,PROPN
mass,mass,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,True,low,510,NOUN
situation,situation,False,ela|math|science,3-5|6-8|9-12|K-2,W.3.3,False,True,False,L-suffix:tion,True,high,504,NOUN
expression,expression,False,ela|math|science,3-5|6-8|9-12|K-2,OA.1,False,True,False,L-prefix:ex|L-suffix:sion,True,high,497,NOUN
temperature,temperature,False,math|science,3-5|6-8|9-12|K-2,6.NS.5,False,True,False,L-suffix:ure|L-root:temp,True,high,497,NOUN
specie,specie,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-root:spec,True,medium,482,NOUN
technology,technology,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,True,G-suffix:ology|G-root:techn,True,high,469,PROPN
expectation,expectation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,MD.2,False,True,False,L-prefix:ex|L-suffix:tion,True,high,464,NOUN
source,source,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.SP.7,True,False,False,,True,low,464,NOUN
organism,organism,False,science,3-5|6-8|9-12|K-2,,False,False,True,G-suffix:ism,True,high,464,NOUN
diagram,diagram,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,4.NF.6,False,False,True,G-prefix:di,True,medium,459,NOUN
result,result,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,2.NBT.4,False,True,False,L-prefix:re,True,medium,458,NOUN
population,population,False,math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.4,False,True,False,L-suffix:tion,True,high,454,NOUN
opportunity,opportunity,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ity|L-root:port,True,high,449,NOUN
quantity,quantity,False,math|science|social-studies,3-5|6-8|9-12|K-2,7.PS.3,False,True,False,L-suffix:ity,True,high,439,NOUN
project,project,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:pro|L-root:ject,True,medium,438,NOUN
approach,approach,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,430,NOUN
product,product,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pro|L-root:duc,True,medium,429,NOUN
development,development,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.NF.1,False,True,False,L-prefix:de|L-suffix:ment,True,high,417,NOUN
electric,electric,False,math|science,3-5|6-8|9-12|K-2,6.NS.6,False,False,False,,True,medium,413,ADJ
factor,factor,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,5.NF.5,True,True,False,L-root:fac,True,medium,410,NOUN
physical,physical,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,True,L-suffix:al|G-root:phys,True,high,407,ADJ
range,range,False,ela|math|science,3-5|6-8|9-12|K-2,1.LS.1,True,False,False,,True,low,404,NOUN
environment,environment,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:ment,True,high,404,NOUN
magnetic,magnetic,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-root:magn,True,high,402,ADJ
present,present,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.4.7,False,True,False,L-prefix:pre|L-suffix:ent,True,medium,400,ADJ
social,social,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ial,True,medium,392,PROPN
resource,resource,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:re,True,high,381,NOUN
complex,complex,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.RP.2,True,True,False,L-prefix:com,True,medium,379,ADJ
potential,potential,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:ial,True,high,379,NOUN
individual,individual,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:in|L-suffix:ual|L-root:vid,True,high,378,NOUN
observation,observation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.2.7,False,True,False,L-prefix:ob|L-suffix:tion|L-root:serv,True,high,375,NOUN
argument,argument,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ment,True,high,372,NOUN
demand,demand,False,ela|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:de,True,medium,372,NOUN
location,location,False,math|science|social-studies,3-5|6-8|9-12|K-2,F.3,False,True,False,L-suffix:tion,True,high,372,NOUN
application,application,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.3,False,True,False,L-suffix:tion,True,high,371,NOUN
similarity,similarity,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.2.8,True,True,False,L-suffix:ity|L-root:simil,True,high,370,NOUN
guidance,guidance,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.1.4,False,True,False,L-suffix:ance,True,high,369,NOUN
difference,difference,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.4.5,False,True,True,G-prefix:di|L-suffix:ence,True,high,362,NOUN
traditional,traditional,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.4.9,True,True,False,L-suffix:al,True,high,362,ADJ
impact,impact,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.6.4,True,True,False,L-prefix:im,True,medium,358,NOUN
overall,overall,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.5.5,True,False,False,,True,low,351,ADJ
fraction,fraction,False,math,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion|L-root:fract,True,medium,350,NOUN
current understanding,current understanding,True,science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:un,True,high,347,NP
suggestion,suggestion,False,ela|science|social-studies,3-5|6-8|9-12|K-2,W.1.4,False,True,False,L-suffix:tion,True,high,344,NOUN
vision,vision,False,math|science,3-5|6-8|9-12|K-2,,True,True,False,L-root:vis,True,medium,344,NOUN
innovative,innovative,False,math|science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:in|L-suffix:ive,True,high,342,ADJ
data,data,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,341,NOUN
inclusive,inclusive,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:ive,True,high,339,ADJ
movement,movement,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.6.3,False,True,False,L-suffix:ment|L-root:mov,True,high,337,NOUN
cognitive demand,cognitive demand,True,science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:de,True,high,337,NP
economic,economic,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,L.7.5,False,False,True,G-prefix:eco,True,high,333,ADJ
atom,atom,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,True,G-prefix:a+tom,True,low,329,NOUN
multiple,multiple,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:multi|L-root:mult,True,high,328,ADJ
ecosystem,ecosystem,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,True,G-prefix:eco,True,high,324,NOUN
demands,demands,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:de,True,medium,322,PROPN
mandatory,mandatory,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ory,True,high,318,ADJ
traditional approach,traditional approach,True,science,3-5|6-8|9-12|K-2,,True,False,False,,True,high,318,NP
innovative idea,innovative idea,True,science,3-5|6-8|9-12|K-2,,True,False,False,,True,high,318,NP
equal,equal,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,F.4,False,True,False,L-suffix:al,True,medium,317,ADJ
classroom task,classroom task,True,science,3-5|6-8|9-12|K-2,,True,False,False,,True,high,317,NP
community,community,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:com|L-suffix:ity,True,high,316,PROPN
feature,feature,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.5.4,True,True,False,L-suffix:ure,True,medium,312,NOUN
scientific thought process,scientific thought process,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:pro,True,high,312,NP
project experience,project experience,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:ex|L-suffix:ence,True,high,312,NP
important aspect,important aspect,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-root:spec,True,high,312,NP
overall understanding,overall understanding,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:un,True,high,312,NP
animal,animal,False,ela|math|science,3-5|6-8|9-12|K-2,L.5.6,False,True,False,L-suffix:al,True,medium,311,NOUN
student opportunity,student opportunity,True,science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ity|L-root:port,True,high,311,NP
position,position,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.7.6,False,True,False,L-suffix:tion,True,high,307,NOUN
operation,operation,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion|L-root:oper,True,high,302,NOUN
velocity,velocity,False,science,3-5|6-8|9-12|K-2,6.PS.4,False,True,False,L-suffix:ity,True,high,301,NOUN
context,context,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.EE.1,True,True,False,L-prefix:con,True,medium,298,NOUN
natural,natural,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,medium,298,ADJ
representation,representation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.OA.1,False,True,False,L-prefix:re|L-suffix:tion,True,high,296,NOUN
element,element,False,ela|math|science,3-5|6-8|9-12|K-2,F.1,True,True,False,L-suffix:ment,True,medium,294,NOUN
explanation,explanation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,OA.1,False,True,False,L-prefix:ex|L-suffix:tion,True,high,294,NOUN
surface,surface,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-root:fac,True,medium,291,NOUN
chemical,chemical,False,science,3-5|6-8|9-12|K-2,6.ESS.1,True,True,False,L-suffix:al,True,high,288,NOUN
decision,decision,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.8.3,False,True,False,L-prefix:de|L-suffix:sion,True,high,285,NOUN
government,government,False,ela|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ment,True,high,279,PROPN
distance,distance,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,L-prefix:dis|G-prefix:di|L-suffix:ance,True,high,279,NOUN
history,history,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ory,True,medium,278,NOUN
formation,formation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.OA.6,False,True,False,L-suffix:tion,True,high,278,NOUN
direction,direction,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.5.5,False,True,True,G-prefix:di|L-suffix:tion|L-root:rect,True,high,276,NOUN
device,device,False,ela|math|science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:de,True,medium,275,NOUN
conclusion,conclusion,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:con|L-suffix:sion,True,high,273,NOUN
volume,volume,False,ela|math|science,3-5|6-8|9-12|K-2,SL.6.4,True,False,False,,True,low,273,NOUN
geometric,geometric,False,math,3-5|6-8|9-12|K-2,,False,False,True,G-prefix:geo,True,high,273,ADJ
particle,particle,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:cle,True,high,273,NOUN
detail,detail,False,ela|math|science,3-5|6-8|9-12|K-2,3.OA.4,False,True,False,L-prefix:de,True,medium,272,NOUN
statistic,statistic,False,math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,272,NOUN
general,general,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,5.NF.2,False,True,False,L-suffix:al,True,medium,270,ADJ
reaction,reaction,False,ela|science,3-5|6-8|9-12|K-2,W.1.3,False,True,False,L-prefix:re|L-suffix:tion,True,medium,267,NOUN
national,national,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,high,266,PROPN
global,global,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:al,True,medium,265,ADJ
interaction,interaction,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.5.3,False,True,False,L-prefix:inter|L-suffix:tion,True,high,259,NOUN
addition,addition,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.5.1,False,True,False,L-prefix:ad|L-suffix:tion,True,high,257,NOUN
unknown,unknown,False,ela|math|science,3-5|6-8|9-12|K-2,4.OA.2,False,True,False,L-prefix:un,True,medium,254,ADJ
cycle,cycle,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,True,G-root:cycl,True,medium,254,NOUN
college,college,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:co,True,medium,251,PROPN
region,region,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:re,True,medium,250,NOUN
center,center,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.MD.2,False,True,False,L-root:cent,True,medium,249,PROPN
transformation,transformation,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:trans|L-suffix:tion,True,high,249,NOUN
relative,relative,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,L.4.1,False,True,False,L-prefix:re|L-suffix:ive,True,high,248,ADJ
geometry,geometry,False,math|science,3-5|6-8|9-12|K-2,,False,False,True,G-prefix:geo|G-suffix:metry,True,high,248,NOUN
environmental,environmental,False,science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:al,True,high,248,ADJ
condition,condition,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,6.EE.8,False,True,False,L-prefix:con|L-suffix:tion,True,high,247,NOUN
period,period,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:per,True,medium,244,NOUN
mineral,mineral,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,medium,241,NOUN
distribution,distribution,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,L-prefix:dis|G-prefix:di|L-suffix:tion,True,high,238,NOUN
focus,focus,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.8.7,True,False,False,,True,low,238,NOUN
constant,constant,False,math|science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con|L-suffix:ant,True,high,237,ADJ
concepts,concepts,False,ela|science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con,True,high,236,PROPN
outcome,outcome,False,math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,236,NOUN
organization,organization,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.SP.8,False,True,False,L-suffix:tion,True,high,234,PROPN
gravitational,gravitational,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al|L-root:vit,True,high,232,ADJ
issue,issue,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.6.7,True,False,False,,True,low,231,NOUN
rational,rational,False,math,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:al,True,high,230,ADJ
relevant,relevant,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:re|L-suffix:ant,True,high,225,ADJ
procedure,procedure,False,ela|math|science,3-5|6-8|9-12|K-2,RI.1.9,False,True,False,L-prefix:pro|L-suffix:ure,True,high,225,NOUN
association,association,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,L.7.5,False,True,False,L-suffix:tion,True,high,224,NOUN
linear,linear,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,True,low,224,NOUN
geologic,geologic,False,science,3-5|6-8|9-12|K-2,,False,False,True,G-prefix:geo,True,high,224,ADJ
definition,definition,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.2.2,False,True,False,L-prefix:de|L-suffix:tion,True,high,221,NOUN
communication,communication,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:com|L-suffix:tion,True,high,216,NOUN
technique,technique,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,4.NF.5,True,False,True,G-root:techn,True,high,216,NOUN
description,description,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:de|L-suffix:tion|L-root:script,True,high,215,NOUN
exponential,exponential,False,math|science,3-5|6-8|9-12|K-2,5.NBT.3,False,True,False,L-prefix:ex|L-suffix:ial,True,high,214,ADJ
digit,digit,False,ela|math|science,3-5|6-8|9-12|K-2,8.EE.3,False,False,True,G-prefix:di,True,medium,213,NOUN
strategy,strategy,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,212,NOUN
bond,bond,False,science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,210,NOUN
connection,connection,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.3.7,False,True,False,L-prefix:con|L-suffix:tion,True,high,209,NOUN
substance,substance,False,ela|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:sub|L-suffix:ance,True,high,207,NOUN
resistance,resistance,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:re|L-suffix:ance,True,high,205,NOUN
quantitative,quantitative,False,ela|math|science,3-5|6-8|9-12|K-2,7.SP.3,False,True,False,L-suffix:ive,True,high,204,ADJ
particular,particular,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ular,True,high,204,ADJ
future,future,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ure,True,medium,202,ADJ
numerical,numerical,False,ela|math|science,3-5|6-8|9-12|K-2,8.EE.1,False,True,False,L-suffix:al|L-root:numer,True,high,201,PROPN
friction,friction,False,ela|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion,True,medium,200,NOUN
sense,sense,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-root:sens,True,medium,198,NOUN
record,record,False,ela|math|science,3-5|6-8|9-12|K-2,W.2.7,False,True,False,L-prefix:re,True,medium,198,NOUN
component,component,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:com|L-suffix:ent,True,high,197,NOUN
transfer,transfer,False,math|science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:trans,True,high,196,NOUN
historical,historical,False,ela|science|social-studies,3-5|6-8|9-12|K-2,RI.3.3,False,True,False,L-suffix:al,True,high,194,ADJ
triangle,triangle,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:tri,True,high,194,NOUN
united,united,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.4,False,True,False,L-prefix:uni,True,medium,193,PROPN
revision,revision,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:re|L-suffix:sion|L-root:vis,True,high,192,PROPN
audience,audience,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ence|L-root:aud,True,high,192,PROPN
inequality,inequality,False,math,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:ity,True,high,192,NOUN
multiplication,multiplication,False,math,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:multi|L-suffix:tion|L-root:mult,True,high,189,PROPN
acceleration,acceleration,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion,True,high,187,NOUN
thermal,thermal,False,science,3-5|6-8|9-12|K-2,,False,True,True,L-suffix:al|G-root:therm,True,medium,187,ADJ
role,role,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.8.5,True,False,False,,True,low,186,NOUN
erosion,erosion,False,science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:sion,True,medium,186,NOUN
reflection,reflection,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:re|L-suffix:tion,True,high,184,NOUN
sequence,sequence,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,F.2,True,True,False,L-suffix:ence|L-root:sequ,True,high,182,NOUN
convention,convention,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.OA.1,True,True,False,L-prefix:con|L-suffix:tion,True,high,181,NOUN
prediction,prediction,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pre|L-suffix:tion|L-root:dict,True,high,180,NOUN
critical,critical,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,high,177,ADJ
statistics,statistics,False,math,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,176,PROPN
formula,formula,False,math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,low,175,NOUN
domain,domain,False,ela|math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,low,173,NOUN
major,major,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.4.5,True,False,False,,True,low,173,ADJ
division,division,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,G-prefix:di|L-suffix:sion|L-root:vis,True,high,171,NOUN
discipline,discipline,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,L-prefix:dis|G-prefix:di,True,high,169,NOUN
